source,target,type,weight
223,46036,directed,1
206,46247,directed,1
206,46248,directed,1
224,46249,directed,1
225,46250,directed,1
226,45836,directed,1
226,46251,directed,1
226,46252,directed,1
226,46253,directed,1
226,46254,directed,1
227,45876,directed,1
227,46255,directed,1
228,45836,directed,1
228,45876,directed,1
229,46256,directed,1
224,45967,directed,1
228,45836,directed,1
228,45876,directed,1
230,46257,directed,1
230,46258,directed,1
230,46259,directed,1
230,46260,directed,1
230,46261,directed,1
230,46262,directed,1
231,45839,directed,1
231,46263,directed,1
231,28278,directed,1
231,46024,directed,1
231,45836,directed,1
231,46013,directed,1
231,46014,directed,1
231,46264,directed,1
231,45838,directed,1
228,46265,directed,1
228,46266,directed,1
228,45876,directed,1
228,46267,directed,1
225,46268,directed,1
225,46250,directed,1
230,46257,directed,1
230,46258,directed,1
230,46259,directed,1
230,46260,directed,1
230,46261,directed,1
230,46262,directed,1
232,46269,directed,1
225,46250,directed,1
225,46128,directed,1
225,46250,directed,1
233,46270,directed,1
233,46271,directed,1
224,45967,directed,1
234,46269,directed,1
235,46272,directed,1
228,45849,directed,1
228,45876,directed,1
228,45836,directed,1
236,46273,directed,1
228,46274,directed,1
228,45876,directed,1
228,45836,directed,1
237,46275,directed,1
225,46268,directed,1
225,46250,directed,1
238,46272,directed,1
228,45836,directed,1
228,45876,directed,1
228,45836,directed,1
225,46268,directed,1
225,46250,directed,1
239,239,directed,1
239,46276,directed,1
239,46277,directed,1
239,46278,directed,1
239,14032,directed,1
239,46279,directed,1
239,46280,directed,1
239,46281,directed,1
239,46282,directed,1
228,45849,directed,1
228,45876,directed,1
228,45836,directed,1
225,46250,directed,1
240,46283,directed,1
225,46268,directed,1
225,46250,directed,1
225,46250,directed,1
224,45967,directed,1
228,45836,directed,1
228,45876,directed,1
228,45836,directed,1
225,46250,directed,1
225,46250,directed,1
225,46284,directed,1
225,46128,directed,1
225,46250,directed,1
225,46268,directed,1
225,46250,directed,1
224,45967,directed,1
241,46285,directed,1
241,46286,directed,1
241,46287,directed,1
242,46288,directed,1
243,46289,directed,1
243,46290,directed,1
243,46291,directed,1
243,46292,directed,1
243,46289,directed,1
243,46293,directed,1
243,45987,directed,1
243,46294,directed,1
243,45955,directed,1
243,45890,directed,1
243,45906,directed,1
243,3676,directed,1
243,46295,directed,1
243,46289,directed,1
243,46290,directed,1
243,46291,directed,1
243,46292,directed,1
243,46289,directed,1
243,46293,directed,1
243,45987,directed,1
243,46294,directed,1
