source,target,type,weight
400,26052,directed,1
289,289,directed,1
401,26053,directed,1
326,26054,directed,1
402,26055,directed,1
403,26056,directed,1
326,26057,directed,1
346,18893,directed,1
319,319,directed,1
353,25868,directed,1
353,25868,directed,1
353,25868,directed,1
404,26027,directed,1
353,25868,directed,1
353,25868,directed,1
353,25868,directed,1
353,25868,directed,1
353,25735,directed,1
405,25743,directed,1
326,25987,directed,1
289,289,directed,1
353,25733,directed,1
353,25913,directed,1
353,25749,directed,1
353,25749,directed,1
353,25710,directed,1
353,25735,directed,1
353,25773,directed,1
406,25932,directed,1
353,26058,directed,1
289,289,directed,1
407,26059,directed,1
289,289,directed,1
408,26060,directed,1
354,26003,directed,1
409,25982,directed,1
390,26061,directed,1
410,25743,directed,1
411,411,directed,1
411,411,directed,1
411,411,directed,1
411,411,directed,1
411,411,directed,1
412,412,directed,1
321,321,directed,1
331,331,directed,1
413,26062,directed,1
414,414,directed,1
414,414,directed,1
414,414,directed,1
324,324,directed,1
313,313,directed,1
321,321,directed,1
206,26063,directed,1
220,220,directed,1
415,415,directed,1
416,1751,directed,1
416,26064,directed,1
416,26065,directed,1
417,26066,directed,1
418,418,directed,1
419,419,directed,1
420,420,directed,1
212,26067,directed,1
212,25868,directed,1
421,25737,directed,1
212,25913,directed,1
422,422,directed,1
212,877,directed,1
212,25756,directed,1
423,26068,directed,1
212,25913,directed,1
424,26069,directed,1
425,425,directed,1
426,26070,directed,1
319,319,directed,1
427,26043,directed,1
428,26071,directed,1
429,26072,directed,1
430,26073,directed,1
377,26074,directed,1
431,431,directed,1
432,432,directed,1
433,433,directed,1
434,25737,directed,1
434,26075,directed,1
435,26076,directed,1
436,26077,directed,1
437,25710,directed,1
438,438,directed,1
434,25737,directed,1
439,26078,directed,1
440,440,directed,1
441,441,directed,1
442,26079,directed,1
443,26080,directed,1
444,444,directed,1
445,25849,directed,1
446,446,directed,1
447,26081,directed,1
441,26077,directed,1
448,26082,directed,1
449,449,directed,1
432,432,directed,1
450,450,directed,1
233,233,directed,1
451,26083,directed,1
452,26084,directed,1
453,26085,directed,1
213,213,directed,1
444,444,directed,1
233,233,directed,1
454,26086,directed,1
455,455,directed,1
456,456,directed,1
432,432,directed,1
457,25907,directed,1
458,26087,directed,1
459,26088,directed,1
460,26089,directed,1
461,461,directed,1
289,289,directed,1
444,444,directed,1
462,462,directed,1
463,463,directed,1
464,26090,directed,1
465,26091,directed,1
466,25737,directed,1
467,844,directed,1
468,26089,directed,1
469,18542,directed,1
470,26092,directed,1
471,471,directed,1
472,26093,directed,1
473,473,directed,1
444,444,directed,1
434,25737,directed,1
474,26094,directed,1
475,25737,directed,1
476,26095,directed,1
434,26096,directed,1
477,26097,directed,1
478,478,directed,1
479,25743,directed,1
480,480,directed,1
481,26098,directed,1
444,444,directed,1
482,482,directed,1
483,26099,directed,1
440,440,directed,1
444,444,directed,1
484,25737,directed,1
485,26100,directed,1
486,26101,directed,1
487,25737,directed,1
488,488,directed,1
489,25685,directed,1
490,25907,directed,1
233,233,directed,1
491,26016,directed,1
233,233,directed,1
492,492,directed,1
493,25907,directed,1
494,26102,directed,1
495,26103,directed,1
496,26104,directed,1
497,497,directed,1
498,26105,directed,1
499,26106,directed,1
456,456,directed,1
431,431,directed,1
206,25710,directed,1
206,26022,directed,1
500,25907,directed,1
206,18857,directed,1
462,462,directed,1
206,26107,directed,1
206,26107,directed,1
501,26108,directed,1
206,26109,directed,1
502,25949,directed,1
212,26110,directed,1
212,26110,directed,1
212,26110,directed,1
212,26110,directed,1
503,26111,directed,1
212,26110,directed,1
504,504,directed,1
212,26110,directed,1
212,25714,directed,1
212,25714,directed,1
206,25913,directed,1
382,382,directed,1
212,25714,directed,1
206,25913,directed,1
212,25756,directed,1
505,505,directed,1
212,25911,directed,1
212,26112,directed,1
506,506,directed,1
285,285,directed,1
507,26113,directed,1
508,26114,directed,1
323,323,directed,1
509,25907,directed,1
206,26079,directed,1
510,510,directed,1
510,510,directed,1
511,511,directed,1
512,26115,directed,1
513,26116,directed,1
514,26117,directed,1
494,26102,directed,1
285,285,directed,1
289,289,directed,1
191,26118,directed,1
515,515,directed,1
516,516,directed,1
517,517,directed,1
518,26119,directed,1
416,26120,directed,1
416,26121,directed,1
416,26122,directed,1
249,25942,directed,1
249,26079,directed,1
249,25942,directed,1
519,26123,directed,1
520,26124,directed,1
206,26022,directed,1
212,26125,directed,1
206,26022,directed,1
206,26022,directed,1
297,25743,directed,1
206,26022,directed,1
212,26126,directed,1
521,26127,directed,1
206,26128,directed,1
522,522,directed,1
523,26001,directed,1
524,480,directed,1
289,289,directed,1
524,25743,directed,1
525,26129,directed,1
526,526,directed,1
524,26130,directed,1
527,26131,directed,1
528,528,directed,1
213,213,directed,1
283,283,directed,1
354,26132,directed,1
529,529,directed,1
530,530,directed,1
531,26133,directed,1
532,532,directed,1
527,26131,directed,1
524,26134,directed,1
533,26135,directed,1
534,25807,directed,1
535,26136,directed,1
536,536,directed,1
537,26137,directed,1
538,26138,directed,1
539,26139,directed,1
432,432,directed,1
540,26140,directed,1
541,26141,directed,1
542,26142,directed,1
543,26143,directed,1
524,25710,directed,1
532,532,directed,1
544,26144,directed,1
545,545,directed,1
546,26145,directed,1
547,26146,directed,1
548,548,directed,1
549,25781,directed,1
550,550,directed,1
551,26147,directed,1
289,289,directed,1
301,301,directed,1
241,241,directed,1
241,241,directed,1
241,241,directed,1
552,25756,directed,1
553,25868,directed,1
554,25743,directed,1
555,26148,directed,1
289,289,directed,1
556,25737,directed,1
557,557,directed,1
558,558,directed,1
354,26079,directed,1
559,26149,directed,1
560,26150,directed,1
561,561,directed,1
562,26151,directed,1
312,312,directed,1
563,26152,directed,1
564,26153,directed,1
564,25756,directed,1
565,565,directed,1
566,26154,directed,1
241,26155,directed,1
554,25868,directed,1
289,289,directed,1
564,25756,directed,1
567,26156,directed,1
